datetime,25-EC,26-EC,27-EC,34-EC,35-EC,36-EC,63-EC,64-EC,65-EC,67-EC,8--EC,9--EC,mean_electric
2021-01-11,42021.5,13050.5,14283.2,38125.65,59873.55,17323.0,64115.0,19608.8,57317.3,28663.100000000002,51117.95,26337.5,35986.42083333333
2021-01-12,48132.55,37085.15,14325.0,26179.05,43001.85,21801.75,43748.6,13268.8,38735.15,30158.9,59231.4,27885.25,33629.45416666666
2021-01-13,15993.55,18999.35,0.0,4387.9,18983.35,7294.25,62230.8,10773.55,35655.0,13484.6,20579.3,4149.7,17710.94583333333
2021-01-14,24757.4,12910.0,11658.45,23549.7,34799.05,15835.1,46394.5,6280.05,48483.65,21106.4,37707.5,29963.4,26120.43333333333
2021-01-15,28491.4,22904.9,10992.0,43288.4,45617.4,22140.6,43336.2,12847.75,36026.9,25798.4,42143.3,30530.65,30343.158333333333
2021-01-16,25628.55,34002.0,15547.4,27214.05,42182.3,27197.7,54461.45,20452.85,47996.25,24301.95,39753.2,19039.3,31481.416666666668
2021-01-17,26639.6,10749.95,10790.05,30079.65,55745.05,38004.25,46039.95,23364.6,35382.9,35351.65,36693.55,25876.7,31226.49166666667
2021-01-18,26291.85,14737.85,7497.5,45810.15,46403.85,34571.95,46317.5,14384.3,39944.3,28714.8,37863.7,25194.65,30644.366666666665
2021-01-19,26486.3,12977.55,13312.0,37579.55,44891.1,22257.8,62616.2,17775.2,53923.05,26259.4,53293.4,21664.0,32752.9625
2021-01-20,22961.5,5093.35,12034.8,32882.3,36038.3,29619.3,74640.55,12158.35,50405.65,28624.8,37534.8,17249.45,29936.929166666665
2021-01-21,22756.8,12326.8,8174.3,31594.05,38871.2,46790.9,56070.05,9268.35,34894.4,26103.05,46976.55,18257.1,29340.295833333334
2021-01-22,27904.3,20573.55,14793.65,26711.6,39757.35,21794.5,44444.05,13209.45,10412.5,26280.8,42656.15,23138.85,25973.0625
2021-01-23,36631.95,20940.35,11590.8,32498.5,33638.5,23585.6,52113.65,16300.45,9723.8,24603.0,37753.3,22126.1,26792.166666666664
2021-01-24,49038.25,9925.65,13262.7,50081.55,41423.8,18503.45,60531.65,11752.6,9717.75,24689.5,41775.4,26325.0,29752.275
2021-01-25,55014.0,7602.1,11827.3,52366.0,49315.26666666667,19306.2,52947.95,13465.5,9874.05,31908.8,37525.3,18912.55,30005.418055555558
2021-01-26,31017.85,14245.05,16776.7,39504.8,40818.0,20460.7,65197.45,14633.3,9912.6,32549.8,40342.1,23783.85,29103.516666666666
2021-01-27,24861.95,8999.95,13326.55,34702.95,43557.0,32374.3,63841.45,16498.55,9794.1,30300.15,33081.35,21481.75,27735.004166666666
2021-01-28,22636.6,10655.35,10828.3,41662.5,67212.3,20919.25,53812.75,12213.1,9624.55,32195.9,41437.0,19233.25,28535.904166666667
2021-01-29,21717.7,17128.45,13437.25,35411.65,38713.75,25380.3,40610.76666666667,12417.95,9750.7,36158.9,44595.3,15230.800000000001,25879.459722222222
2021-01-30,23792.4,9159.95,19555.05,35356.75,41555.2,23532.45,49631.9,9806.45,9763.0,26555.25,31912.05,25177.6,25483.170833333334
2021-01-31,21710.9,9083.65,16425.15,49758.4,52531.4,31791.6,76507.7,9767.6,9710.95,32962.5,37661.45,22886.55,30899.82083333333
2021-02-01,20879.15,9946.95,16741.05,44521.05,48399.45,29810.3,58565.55,10444.2,9953.65,28889.65,47040.55,16744.95,28494.708333333332
2021-02-02,22535.1,15458.65,17672.4,47985.85,49872.75,24044.3,57352.1,20093.75,9879.65,48252.4,47746.1,18766.05,31638.258333333335
2021-02-03,23733.75,7295.5,11130.0,42718.05,47089.2,21734.3,55462.0,18500.6,9874.133333333333,33134.9,50991.6,21961.75,28635.481944444444
