0,25-EC,26-EC,27-EC,34-EC,35-EC,36-EC,63-EC,64-EC,65-EC,67-EC,8--EC,9--EC,mean
2020-12-01 18:50:00,0.0,0.0,0.0,0.0,0.0,0.0,542.6,0.0,538.0,0.0,0.0,0.0,90.05
2020-12-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,140.5,0.0,320.75,0.0,0.0,0.0,38.4375
2020-12-01 19:10:00,0.0,0.0,0.0,0.0,0.0,0.0,476.25,0.0,542.4,0.0,0.0,0.0,84.8875
2020-12-01 19:20:00,0.0,167.25,0.0,0.0,0.0,0.0,454.75,0.0,362.0,0.0,0.0,0.0,82.0
2020-12-01 19:30:00,0.0,378.0,0.0,0.0,0.0,0.0,333.4,0.0,498.5,0.0,0.0,0.0,100.825
2020-12-01 19:40:00,0.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0,273.5,0.0,0.0,0.0,50.041666666666664
2020-12-01 19:50:00,0.0,0.0,0.0,0.0,0.0,0.0,88.5,0.0,418.8,0.0,0.0,0.0,42.275
2020-12-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,313.2,0.0,417.25,0.0,0.0,0.0,60.87083333333334
2020-12-01 20:10:00,0.0,0.0,0.0,0.0,0.0,0.0,408.0,0.0,319.75,0.0,0.0,0.0,60.645833333333336
2020-12-01 20:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,0.0,0.0,30.833333333333332
2020-12-01 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,317.8,0.0,238.25,0.0,0.0,0.0,46.3375
2020-12-01 20:40:00,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,222.5,0.0,0.0,0.0,53.291666666666664
2020-12-01 20:50:00,0.0,0.0,0.0,0.0,0.0,0.0,424.75,0.0,366.0,0.0,0.0,0.0,65.89583333333333
2020-12-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,248.25,0.0,228.25,0.0,0.0,0.0,39.708333333333336
2020-12-01 21:10:00,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,234.25,81.75,0.0,0.0,38.0
2020-12-01 21:20:00,0.0,1.25,439.5,0.0,1108.0,0.0,405.0,0.0,227.25,2264.25,1606.6,0.0,504.3208333333334
2020-12-01 21:30:00,285.0,5.0,2256.6,221.0,2264.0,211.0,388.75,0.0,341.6,2239.6,2366.5,1272.5,987.6291666666667
2020-12-01 21:40:00,2112.5,2.5,2253.5,1661.75,2248.0,1691.8,348.4,0.0,227.5,2228.75,2352.25,2252.5,1448.2874999999997
